Date,SPY,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ
2014-12-01,0.0854348679054306,0.0009132677642430083,1.595438745575504e-05,1.0313118735758988e-05,3.793200116294084e-06,0.5721620507590475,3.562722319391418e-06,6.505805548587008e-05,0.2893158020305604,4.965698304966979e-06,0.05206607677604379,4.28758225651739e-06
2015-01-02,0.09071660111231623,0.0005120550835623827,1.9956929589163478e-05,1.5032691497596064e-05,5.21529421083603e-06,0.5779911462418356,5.133762501007426e-06,0.00021004032704719717,0.2769489433263423,7.187613633948345e-06,0.05356256214916281,6.125468301035719e-06
2015-02-02,0.08996397932940885,0.0004990597537718259,2.251840331939529e-05,1.4957222623552506e-05,5.299852736399806e-06,0.5747922446880368,5.193540134287666e-06,0.00013916784760618827,0.28002983258981545,7.22832263698811e-06,0.05451417508676369,6.343363146520687e-06
2015-03-02,0.08394152005462463,0.001335591013779079,2.9809738436741505e-05,1.5898614123793735e-05,6.106944707954189e-06,0.5684169838445179,6.389582060625731e-06,0.00013944477696436385,0.29191934801395625,9.038289188664335e-06,0.05417279469594806,7.074431691923734e-06
2015-04-01,0.06809848388025239,0.0051942096551330945,3.931219245377714e-05,1.343370687500102e-05,5.2798853218251215e-06,0.5600620555879564,4.6903420857890644e-06,0.00012936294794092213,0.31879834865070467,8.657800260320947e-06,0.04764110951245439,5.0558385613506136e-06
2015-05-01,0.07416480809048408,0.005473818489705595,4.111373572101763e-05,1.5759129068971036e-05,5.9598284188612865e-06,0.5622268360730102,5.178780257239153e-06,0.00013852230797292166,0.31246991802182794,1.0148194542310194e-05,0.04544239096991867,5.546379072115459e-06
2015-06-01,0.05205529474764139,0.015471861185083563,5.281956026647651e-05,8.594307650817637e-06,3.2121682411196216e-06,0.5391208025351168,2.011829233741482e-06,8.455997535570705e-05,0.3502022409075791,6.700716957490479e-06,0.04298919233526811,2.7097316055599373e-06
2015-07-01,0.05994013508938244,0.012789989175039424,0.00015492726428987372,1.2570959577994887e-05,5.1430729650767285e-06,0.5210897675049698,3.508303010828277e-06,0.00010512861068873279,0.3535523006509502,1.0567400435944847e-05,0.05233140346253344,4.5585061561835134e-06
2015-08-03,0.06378203979746408,0.012359039768062307,0.00012911836832571588,1.2691966976314151e-05,4.971317885783427e-06,0.5172088294086701,3.533567354612169e-06,0.00011415629119905275,0.3498662734589834,9.762432732659661e-06,0.05650498249206115,4.601130284903899e-06
2015-09-01,0.038529196957241454,0.015679615331710514,0.0005154522778632744,6.083430461520238e-05,1.5134884925434626e-05,0.515455260483571,7.295582399087277e-06,0.00029291640855742964,0.37704047600364493,3.1848242236407505e-05,0.05235948577088588,1.2483752349341303e-05
