Date,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ
2013-05-01,2.2300715044631613e-07,0.29999999070759037,0.29999999362909263,0.06609980581364387,1.5044404854042428e-08,1.0124481063744943e-08,2.3490749693558976e-08,0.0338999501036183,4.300190189662721e-09,6.309862406285614e-09,0.2999999774692162
2013-06-03,0.09999937249086231,0.2999999530548396,0.2999998901155708,2.732366564342603e-07,1.176666652770963e-07,5.9153279682139475e-08,1.6958209843053232e-07,5.948457239872626e-07,2.4409550164814503e-08,3.810799340402364e-08,0.2999995073367598
2013-07-01,0.09999780903182658,0.2999999675728434,0.29999988852786846,3.599726632641837e-08,8.487632888400352e-08,4.598730131687679e-08,7.397458482806256e-08,2.22840294228492e-06,9.22290217775608e-09,2.2872865708916852e-08,0.2999998335332699
2013-08-01,0.2999999735777971,0.2999999965414981,0.2999999647995493,5.990046594540518e-09,8.992551077111698e-09,5.3812493282661905e-09,7.955780204991093e-09,5.339706218428272e-08,2.2671822855862644e-09,5.8639926960144905e-09,0.09999997523329107
2013-09-03,0.29999979236865043,0.29999992411752685,0.2999990668284635,1.372753634110765e-07,2.706474651205477e-07,1.2984919706808836e-07,3.3987676619531957e-07,0.09999891271355929,7.201737953726875e-08,2.6236232490211935e-07,1.0919433038118473e-06
2013-10-01,0.29999999196891636,0.29999999630634727,0.2999999918509889,7.225748071072419e-09,2.055585837391423e-08,8.146343997277394e-09,1.908730656880829e-08,0.09999993911607614,3.0516154989097438e-09,9.14544756630202e-09,1.3545351183485396e-08
2013-11-01,0.29999998506277725,0.2999999789197822,0.29999996119642913,2.3194157676316196e-08,3.494124837474057e-08,2.4366181832077283e-08,3.821899366307486e-08,0.09999977552978834,8.126123299390288e-09,1.4558568524399727e-08,1.558859497562325e-07
2013-12-02,0.29999998635710967,0.29999997806324824,0.29999997179027865,3.938328412622403e-08,5.297124258353215e-08,2.5319370398837625e-08,6.941725672888153e-08,0.09999980345880202,9.812028473930819e-09,3.137780443030812e-08,3.2049574633624415e-08
2014-01-02,0.2999999881996958,0.29999997881058516,0.29999997917157123,1.5106190516826696e-08,3.0865215956171096e-08,1.8631907760527042e-08,6.244133678879894e-08,0.09999986980697059,8.010367232169807e-09,2.711941346230035e-08,2.183674531159431e-08
2014-02-03,0.29999999039333414,0.29999998944498424,0.2999997747181076,1.8644005509737836e-08,3.8318148247957083e-08,1.7581569838682876e-08,6.58412676756502e-08,0.1000000310295723,1.1831140067277372e-08,3.7519245638856914e-08,2.4678624727422592e-08
2014-03-03,0.29999999360051194,0.2999999849251135,0.2999999823659784,5.262967627535185e-09,1.1459587811282951e-08,1.005475674054967e-08,2.0310746810794973e-08,0.09999996236454302,7.899919558547866e-09,1.3739505009189558e-08,8.016369534231297e-09
